question_id,question_name
575,"BREAST CANCER INCIDENCE RATE PER 100,000 WOMEN BY RACE/ETHNICITY, 2020 WHITE"
576,"INDIVIDUALS REPORTING PAST YEAR OPIOID USE DISORDER, 2018-2019 PAST YEAR OPIOID USE DISORDER"
579,"POVERTY RATE BY AGE, 2022 ADULTS 19-64"
580,"TOTAL CANCER DEATHS BY RACE/ETHNICITY, 2022 WHITE"
581,"ADULTS WHO REPORT SMOKING BY RACE/ETHNICITY, 2022 ALL ADULTS"
582,"CERVICAL CANCER INCIDENCE RATE PER 100,000 WOMEN BY RACE/ETHNICITY, 2020 HISPANIC"
583,"TOTAL DIABETES DEATHS BY GENDER, 2022 OVERALL"
584,"BREAST CANCER INCIDENCE RATE PER 100,000 WOMEN, 2020 BREAST CANCER RATE"
585,"TOTAL HEART DISEASE DEATHS BY SEX, 2022 OVERALL"
586,"TOTAL CANCER DEATHS BY RACE/ETHNICITY, 2022 MULTIPLE RACES"
588,"TOTAL HEART DISEASE DEATHS BY SEX, 2022 FEMALE"
589,"ADULTS WHO REPORT SMOKING BY RACE/ETHNICITY, 2022 BLACK"
590,"TOTAL CANCER DEATHS BY RACE/ETHNICITY, 2022 NATIVE HAWAIIAN/PACIFIC ISLANDER"
591,"ADULTS REPORTING NOT HAVING A PERSONAL DOCTOR BY GENDER, 2017 FEMALE"
592,"TOTAL CERVICAL CANCER DEATHS, 2022 NUMBER OF CERVICAL CANCER DEATHS"
594,"POVERTY RATE BY RACE/ETHNICITY, 2022 WHITE"
595,"TOTAL BREAST CANCER DEATHS BY RACE/ETHNICITY, 2022 HISPANIC"
596,"ADULTS WHO REPORT BEING TOLD BY A DOCTOR THAT THEY HAVE CARDIOVASCULAR DISEASE BY RACE/ETHNICITY, 2022 WHITE"
598,"ADULTS WHO REPORT FAIR OR POOR HEALTH STATUS BY RACE/ETHNICITY, 2022 HISPANIC"
599,"TOTAL CANCER DEATHS BY RACE/ETHNICITY, 2022 HISPANIC"
600,"POVERTY RATE BY RACE/ETHNICITY, 2022 HISPANIC"
601,"POPULATION DISTRIBUTION BY FEDERAL POVERTY LEVEL, 2022 200-399%"
602,"TOTAL DIABETES DEATHS BY RACE/ETHNICITY, 2022 ASIAN"
603,"TOTAL HEART DISEASE DEATHS BY RACE/ETHNICITY, 2022 MULTIPLE RACES"
604,"BREAST CANCER INCIDENCE RATE PER 100,000 WOMEN BY RACE/ETHNICITY, 2020 ASIAN/NATIVE HAWAIIAN OR PACIFIC ISLANDER"
605,"ADULTS WHO REPORT SMOKING BY SEX, 2022 FEMALE"
606,"TOTAL CERVICAL CANCER DEATH BY RACE/ETHNICITY, 2022 BLACK"
607,"ADULT POVERTY RATE BY FAMILY STRUCTURE, 2022 ADULTS WITH CHILDREN"
609,"TOTAL BREAST CANCER DEATHS BY RACE/ETHNICITY, 2022 AMERICAN INDIAN OR ALASKA NATIVE"
611,"BREAST CANCER INCIDENCE RATE PER 100,000 WOMEN BY RACE/ETHNICITY, 2020 AMERICAN INDIAN OR ALASKA NATIVE"
613,"PRIVATE: POVERTY RATE BY METROPOLITAN STATUS, 2016 TOTAL"
615,"ADULTS WHO ARE SEVERELY OBESE, 2022 SHARE OF ADULTS REPORTING SEVERE OBESITY (BMI OF 40 OR HIGHER)"
616,"TOTAL CERVICAL CANCER DEATH BY RACE/ETHNICITY, 2022 HISPANIC"
619,"ADULTS WHO REPORT FAIR OR POOR HEALTH STATUS BY RACE/ETHNICITY, 2022 OTHER"
621,"ADULTS WHO ARE OBESE BY SEX, 2022 MALE"
622,"TOTAL DEATHS BY RACE/ETHNICITY, 2022 HISPANIC"
623,"ADULTS WHO REPORT FAIR OR POOR HEALTH STATUS BY RACE/ETHNICITY, 2022 ASIAN/NATIVE HAWAIIAN OR PACIFIC ISLANDER"
625,"TOTAL DIABETES DEATHS BY RACE/ETHNICITY, 2022 AMERICAN INDIAN OR ALASKA NATIVE"
626,"PRIVATE: PERCENT OF ADULTS WHO SMOKE, 2017 SMOKING ADULTS"
628,"TOTAL HEART DISEASE DEATHS BY RACE/ETHNICITY, 2022 BLACK"
785,"ADULTS WHO REPORT FAIR OR POOR HEALTH STATUS BY SEX, 2022 FEMALE"
629,"TOTAL DEATHS BY RACE/ETHNICITY, 2022 AMERICAN INDIAN OR ALASKA NATIVE"
630,"NONELDERLY WITH MEDICAID BY FEDERAL POVERTY LEVEL (FPL), 2022 200-399%"
631,"POVERTY RATE BY RACE/ETHNICITY, 2022 ASIAN/NATIVE HAWAIIAN OR PACIFIC ISLANDER"
632,"TOTAL DEATHS BY RACE/ETHNICITY, 2022 MULTIPLE RACES"
633,"NONELDERLY WITH MEDICAID BY FEDERAL POVERTY LEVEL (FPL), 2022 100-199%"
635,"INDIVIDUALS REPORTING ALCOHOL DEPENDENCE OR ABUSE IN THE PAST YEAR, 2018-2019 ADULTS AGES 18+"
636,"TOTAL DIABETES DEATHS, 2022 DIABETES DEATH RATE PER 100,000"
637,"WEIGHT STATUS OF CHILDREN AGES 10-17, 2022 UNDERWEIGHT"
638,"ADULTS WHO REPORT BEING TOLD BY A DOCTOR THAT THEY HAVE CARDIOVASCULAR DISEASE BY RACE/ETHNICITY, 2022 ASIAN/NATIVE HAWAIIAN OR PACIFIC ISLANDER"
639,"ADULTS WHO REPORT FAIR OR POOR HEALTH STATUS BY RACE/ETHNICITY, 2022 BLACK"
640,"NONELDERLY WITH MEDICAID BY FEDERAL POVERTY LEVEL (FPL), 2022 400%+"
641,"POPULATION DISTRIBUTION BY FEDERAL POVERTY LEVEL, 2022 UNDER 100%"
642,"TOTAL DEATHS BY GENDER, 2022 FEMALE"
643,"TOTAL CERVICAL CANCER DEATH BY RACE/ETHNICITY, 2022 AMERICAN INDIAN OR ALASKA NATIVE"
644,"POVERTY RATE BY RACE/ETHNICITY, 2022 AMERICAN INDIAN OR ALASKA NATIVE"
647,"TOTAL CERVICAL CANCER DEATH BY RACE/ETHNICITY, 2022 WHITE"
648,"TOTAL CERVICAL CANCER DEATHS, 2022 CERVICAL CANCER DEATH RATE"
650,"TOTAL DEATHS BY GENDER, 2022 MALE"
652,"TOTAL CERVICAL CANCER DEATH BY RACE/ETHNICITY, 2022 OVERALL"
653,"TOTAL HEART DISEASE DEATHS BY RACE/ETHNICITY, 2022 WHITE"
658,"ADULTS WHO REPORT FAIR OR POOR HEALTH STATUS BY SEX, 2022 MALE"
659,"TOTAL BREAST CANCER DEATHS BY RACE/ETHNICITY, 2022 OVERALL"
660,"TOTAL HEART DISEASE DEATHS BY SEX, 2022 MALE"
661,"TOTAL DIABETES DEATHS, 2022 NUMBER OF DIABETES DEATHS"
662,"TOTAL DIABETES DEATHS BY RACE/ETHNICITY, 2022 NATIVE HAWAIIAN/PACIFIC ISLANDER"
666,"ADULTS WHO REPORT SMOKING BY RACE/ETHNICITY, 2022 OTHER"
668,"WEIGHT STATUS OF CHILDREN AGES 10-17, 2022 OBESE"
670,"ADULTS WHO REPORT SMOKING BY RACE/ETHNICITY, 2022 ASIAN/NATIVE HAWAIIAN OR PACIFIC ISLANDER"
671,"BREAST CANCER INCIDENCE RATE PER 100,000 WOMEN BY RACE/ETHNICITY, 2020 OVERALL"
673,"POPULATION DISTRIBUTION BY SEX, 2022 FEMALE"
675,"ADULT POVERTY RATE BY FAMILY STRUCTURE, 2022 ADULTS WITH NO CHILDREN"
676,"TOTAL DIABETES DEATHS BY RACE/ETHNICITY, 2022 BLACK"
677,"ADULT POVERTY RATE BY GENDER, 2022 FEMALE"
679,"ADULTS WHO REPORT FAIR OR POOR HEALTH STATUS BY SEX, 2022 ALL ADULTS"
681,"TOTAL CANCER DEATHS BY SEX, 2022 FEMALE"
682,"POVERTY RATE BY AGE, 2022 TOTAL"
683,"PRIVATE: POVERTY RATE BY METROPOLITAN STATUS, 2016 METROPOLITAN"
685,"ADULTS WHO ARE OBESE BY RACE/ETHNICITY, 2022 ASIAN/NATIVE HAWAIIAN OR PACIFIC ISLANDER"
686,"TOTAL DEATHS BY RACE/ETHNICITY, 2022 ASIAN"
688,"ADULTS WHO REPORT SMOKING BY RACE/ETHNICITY, 2022 AMERICAN INDIAN OR ALASKA NATIVE"
689,"POPULATION DISTRIBUTION BY SEX, 2022 MALE"
690,"TOTAL BREAST CANCER DEATHS, 2022 BREAST CANCER DEATH RATE"
692,"ADULTS WHO REPORT BEING TOLD BY A DOCTOR THAT THEY HAVE CARDIOVASCULAR DISEASE BY RACE/ETHNICITY, 2022 HISPANIC"
693,"TOTAL DEATHS BY RACE/ETHNICITY, 2022 NATIVE HAWAIIAN/PACIFIC ISLANDER"
694,"INFLUENZA AND PNEUMONIA DEATHS PER 100,000 POPULATION, 2022 PNEUMONIA DEATHS"
696,"WEIGHT STATUS OF CHILDREN AGES 10-17, 2022 OVERWEIGHT"
698,"ADULTS REPORTING NOT SEEING A DOCTOR IN THE PAST 12 MONTHS BECAUSE OF COST, 2022 MALE"
699,"TOTAL CERVICAL CANCER DEATH BY RACE/ETHNICITY, 2022 NATIVE HAWAIIAN/PACIFIC ISLANDER"
700,"NUMBER OF HEART DISEASE DEATHS PER 100,000 POPULATION, 2022 HEART DISEASE DEATH RATE PER 100,000"
701,"ADULTS WHO ARE OBESE BY RACE/ETHNICITY, 2022 ALL ADULTS"
702,"ADULTS WHO REPORT FAIR OR POOR HEALTH STATUS BY RACE/ETHNICITY, 2022 AMERICAN INDIAN OR ALASKA NATIVE"
703,"POVERTY RATE BY AGE, 2022 65+"
704,"TOTAL CANCER DEATHS BY RACE/ETHNICITY, 2022 AMERICAN INDIAN OR ALASKA NATIVE"
705,"ADULTS WHO REPORT BEING TOLD BY A DOCTOR THAT THEY HAVE CARDIOVASCULAR DISEASE BY SEX, 2022 MALE"
706,"INDIVIDUALS REPORTING ALCOHOL DEPENDENCE OR ABUSE IN THE PAST YEAR, 2018-2019 TEENS AGES 12-17"
711,"POVERTY RATE BY RACE/ETHNICITY, 2022 BLACK"
713,"ADULTS WHO REPORT BEING TOLD BY A DOCTOR THAT THEY HAVE CARDIOVASCULAR DISEASE BY RACE/ETHNICITY, 2022 AMERICAN INDIAN OR ALASKA NATIVE"
716,"ADULTS WHO REPORT BEING TOLD BY A DOCTOR THAT THEY HAVE CARDIOVASCULAR DISEASE BY RACE/ETHNICITY, 2022 BLACK"
718,"TOTAL CANCER DEATHS BY SEX, 2022 OVERALL"
719,"TOTAL DIABETES DEATHS BY GENDER, 2022 MALE"
720,"ADULTS WHO ARE OBESE BY SEX, 2022 FEMALE"
721,"ADULTS REPORTING NOT HAVING A PERSONAL DOCTOR BY GENDER, 2017 MALE"
722,"BREAST CANCER INCIDENCE RATE PER 100,000 WOMEN BY RACE/ETHNICITY, 2020 HISPANIC"
723,"ADULTS REPORTING NOT HAVING A PERSONAL DOCTOR, 2022 FEMALE"
724,"INDIVIDUALS REPORTING PAST YEAR OPIOID MISUSE, 2018-2019 PAST YEAR OPIOID MISUSE"
725,"TOTAL CANCER DEATHS, 2022 CANCER DEATH RATE PER 100,000"
726,"TOTAL DEATHS BY RACE/ETHNICITY, 2022 WHITE"
727,"AGE-ADJUSTED CANCER INCIDENCE RATE PER 100,000 POPULATION BY RACE/ETHNICITY, 2020 WHITE"
728,"ADULTS WHO REPORT BEING TOLD BY A DOCTOR THAT THEY HAVE CARDIOVASCULAR DISEASE BY RACE/ETHNICITY, 2022 ALL ADULTS"
730,"POVERTY RATE BY AGE, 2022 CHILDREN 0-18"
731,"ADULTS WHO ARE OBESE BY RACE/ETHNICITY, 2022 HISPANIC"
732,"CERVICAL CANCER INCIDENCE RATE PER 100,000 WOMEN BY RACE/ETHNICITY, 2020 OVERALL"
733,"ADULTS WHO REPORT FAIR OR POOR HEALTH STATUS BY RACE/ETHNICITY, 2022 WHITE"
734,"WEIGHT STATUS OF CHILDREN AGES 10-17, 2022 HEALTHY WEIGHT"
735,"AGE-ADJUSTED CANCER INCIDENCE RATE PER 100,000 POPULATION BY RACE/ETHNICITY, 2020 AMERICAN INDIAN OR ALASKA NATIVE"
736,"POVERTY RATE BY RACE/ETHNICITY, 2022 MULTIPLE RACES"
737,"POPULATION DISTRIBUTION BY FEDERAL POVERTY LEVEL, 2022 400%+"
739,"TOTAL DEATHS BY RACE/ETHNICITY, 2022 BLACK"
740,"NONELDERLY WITH MEDICAID BY FEDERAL POVERTY LEVEL (FPL), 2022 UNDER 100%"
741,"POPULATION DISTRIBUTION BY FEDERAL POVERTY LEVEL, 2022 100-199%"
742,"ADULTS WHO ARE OBESE BY RACE/ETHNICITY, 2022 WHITE"
743,"TOTAL BREAST CANCER DEATHS BY RACE/ETHNICITY, 2022 NATIVE HAWAIIAN/PACIFIC ISLANDER"
744,"ADULTS WHO REPORT SMOKING BY SEX, 2022 MALE"
745,"CERVICAL CANCER INCIDENCE RATE PER 100,000 WOMEN BY RACE/ETHNICITY, 2020 ASIAN/NATIVE HAWAIIAN OR PACIFIC ISLANDER"
747,"TOTAL DIABETES DEATHS BY GENDER, 2022 FEMALE"
748,"AGE-ADJUSTED CANCER INCIDENCE RATE PER 100,000 POPULATION BY RACE/ETHNICITY, 2020 ASIAN/NATIVE HAWAIIAN OR PACIFIC ISLANDER"
750,"TOTAL HEART DISEASE DEATHS BY RACE/ETHNICITY, 2022 NATIVE HAWAIIAN/PACIFIC ISLANDER"
751,"TOTAL HEART DISEASE DEATHS BY RACE/ETHNICITY, 2022 HISPANIC"
752,"ADULTS REPORTING NOT HAVING A PERSONAL DOCTOR, 2022 MALE"
753,"TOTAL DEATHS, 2022 NUMBER OF DEATHS"
755,"TOTAL DIABETES DEATHS BY RACE/ETHNICITY, 2022 HISPANIC"
756,"INFLUENZA AND PNEUMONIA DEATHS PER 100,000 POPULATION, 2022 INFLUENZA AND PNEUMONIA DEATHS"
758,"ADULTS REPORTING NOT SEEING A DOCTOR IN THE PAST 12 MONTHS BECAUSE OF COST, 2022 FEMALE"
759,"TOTAL HEART DISEASE DEATHS BY RACE/ETHNICITY, 2022 ASIAN"
761,"ADULTS WHO ARE OBESE BY RACE/ETHNICITY, 2022 BLACK"
763,"TOTAL BREAST CANCER DEATHS BY RACE/ETHNICITY, 2022 WHITE"
764,"ADULTS WHO ARE OBESE BY RACE/ETHNICITY, 2022 OTHER"
765,"TOTAL CERVICAL CANCER DEATH BY RACE/ETHNICITY, 2022 MULTIPLE RACES"
766,"TOTAL CERVICAL CANCER DEATH BY RACE/ETHNICITY, 2022 ASIAN"
767,"ADULT POVERTY RATE BY GENDER, 2022 TOTAL"
768,"CERVICAL CANCER INCIDENCE RATE PER 100,000 WOMEN BY RACE/ETHNICITY, 2020 AMERICAN INDIAN OR ALASKA NATIVE"
770,"TOTAL DIABETES DEATHS BY RACE/ETHNICITY, 2022 WHITE"
772,"CERVICAL CANCER INCIDENCE RATE PER 100,000 WOMEN, 2020 CERVICAL CANCER RATE"
773,"CERVICAL CANCER INCIDENCE RATE PER 100,000 WOMEN BY RACE/ETHNICITY, 2020 BLACK"
774,"TOTAL HEART DISEASE DEATHS BY RACE/ETHNICITY, 2022 AMERICAN INDIAN OR ALASKA NATIVE"
775,"TOTAL DEATHS BY GENDER, 2022 OVERALL"
776,"ADULTS WHO REPORT EVER BEING TOLD THEY HAVE KIDNEY DISEASE, 2022 SHARE OF ADULTS EVER TOLD THEY HAVE KIDNEY DISEASE"
777,"TOTAL BREAST CANCER DEATHS BY RACE/ETHNICITY, 2022 ASIAN"
778,"ADULTS WHO REPORT BEING TOLD BY A DOCTOR THAT THEY HAVE CARDIOVASCULAR DISEASE BY SEX, 2022 FEMALE"
780,"BREAST CANCER INCIDENCE RATE PER 100,000 WOMEN BY RACE/ETHNICITY, 2020 BLACK"
781,"TOTAL BREAST CANCER DEATHS, 2022 NUMBER OF BREAST CANCER DEATHS"
782,"INFLUENZA AND PNEUMONIA DEATHS PER 100,000 POPULATION, 2022 INFLUENZA DEATHS"
783,"ADULTS WHO REPORT SMOKING BY RACE/ETHNICITY, 2022 WHITE"
786,"CERVICAL CANCER INCIDENCE RATE PER 100,000 WOMEN BY RACE/ETHNICITY, 2020 WHITE"
1,%_VACCINATED_(WHITE)
3,%_VACCINATED
17,%_FOOD_INSECURE
21,%_VACCINATED_(ASIAN)
28,%_LIMITED_ACCESS_TO_HEALTHY_FOODS
29,#_PCP
30,%_VACCINATED_(HISPANIC)
44,HOUSEHOLD_INCOME_(WHITE)
45,MEDIAN_HOUSEHOLD_INCOME
62,HOUSEHOLD_INCOME_(BLACK)
64,PCP_RATE
70,HOUSEHOLD_INCOME_(ASIAN)
75,AVERAGE_DAILY_PM2.5
84,80TH_PERCENTILE_INCOME
103,SCHOOL_FUNDING
139,20TH_PERCENTILE_INCOME
146,MEN'S_MEDIAN_EARNINGS
150,#_DENTISTS
160,%_BROADBAND_ACCESS
164,MENTAL_HEALTH_PROVIDER_RATE
165,%_HOUSEHOLD_INCOME_REQUIRED_FOR_CHILDCARE_EXPENSES
170,SPENDING_PER-PUPIL
179,PCP_RATIO
181,FOOD_ENVIRONMENT_INDEX
193,#_MENTAL_HEALTH_PROVIDERS
196,#_LIMITED_ACCESS
206,MENTAL_HEALTH_PROVIDER_RATIO
215,%_WITH_ACCESS_TO_EXERCISE_OPPORTUNITIES
216,OTHER_PCP_RATIO
224,WOMEN'S_MEDIAN_EARNINGS
228,#_FOOD_INSECURE
233,%_VACCINATED_(BLACK)
234,INCOME_RATIO
239,HOUSEHOLD_INCOME_(AIAN)
240,OTHER_PCP_RATE
243,%_VACCINATED_(AIAN)
244,HOUSEHOLD_INCOME_(HISPANIC)
549,"ADULTS REPORTING NOT SEEING A DOCTOR IN THE PAST 12 MONTHS BECAUSE OF COST, 2022 ALL ADULTS"
551,"ADULTS REPORTING NOT HAVING A PERSONAL DOCTOR BY RACE/ETHNICITY, 2022 WHITE"
560,"ADULTS REPORTING NOT HAVING A PERSONAL DOCTOR BY RACE/ETHNICITY, 2022 OTHER"
573,"ADULTS WHO REPORT BEING TOLD BY A DOCTOR THAT THEY HAVE CARDIOVASCULAR DISEASE BY RACE/ETHNICITY, 2022 OTHER"
577,"ADULTS REPORTING NOT SEEING A DOCTOR IN THE PAST 12 MONTHS BECAUSE OF COST BY RACE/ETHNICITY, 2022 WHITE"
578,"ADULTS REPORTING NOT HAVING A PERSONAL DOCTOR BY RACE/ETHNICITY, 2022 BLACK"
591,"ADULTS REPORTING NOT HAVING A PERSONAL DOCTOR BY GENDER, 2017 FEMALE"
596,"ADULTS WHO REPORT BEING TOLD BY A DOCTOR THAT THEY HAVE CARDIOVASCULAR DISEASE BY RACE/ETHNICITY, 2022 WHITE"
597,"ADULTS WHO HAVE EVER BEEN TOLD BY A DOCTOR THAT THEY HAVE HYPERTENSION, 2021 YES"
614,"ADULTS REPORTING NOT SEEING A DOCTOR IN THE PAST 12 MONTHS BECAUSE OF COST BY RACE/ETHNICITY, 2022 BLACK"
638,"ADULTS WHO REPORT BEING TOLD BY A DOCTOR THAT THEY HAVE CARDIOVASCULAR DISEASE BY RACE/ETHNICITY, 2022 ASIAN/NATIVE HAWAIIAN OR PACIFIC ISLANDER"
